n,p,tn
220000,0.1,121
220000,0.1,112
220000,0.1,154
220000,0.1,139
220000,0.1,98
220000,0.1,131
220000,0.1,142
220000,0.1,126
220000,0.1,146
220000,0.1,149
220000,0.1,113
220000,0.1,118
220000,0.1,132
220000,0.1,112
220000,0.1,137
220000,0.1,116
220000,0.1,145
220000,0.1,126
220000,0.1,111
220000,0.1,121
220000,0.1,132
220000,0.1,124
220000,0.1,131
220000,0.1,110
220000,0.1,122
220000,0.1,115
220000,0.1,112
220000,0.1,114
220000,0.1,114
220000,0.1,118
220000,0.1,136
220000,0.1,119
220000,0.1,152
220000,0.1,117
220000,0.1,117
220000,0.1,113
220000,0.1,111
220000,0.1,137
220000,0.1,99
230000,0.1,110
230000,0.1,144
230000,0.1,132
230000,0.1,109
230000,0.1,118
230000,0.1,113
230000,0.1,140
230000,0.1,119
230000,0.1,110
230000,0.1,138
230000,0.1,122
230000,0.1,120
230000,0.1,127
230000,0.1,121
230000,0.1,140
230000,0.1,139
230000,0.1,124
230000,0.1,110
230000,0.1,126
230000,0.1,118
230000,0.1,113
230000,0.1,123
230000,0.1,111
230000,0.1,124
230000,0.1,122
230000,0.1,137
230000,0.1,120
230000,0.1,149
230000,0.1,130
230000,0.1,142
230000,0.1,129
230000,0.1,135
230000,0.1,113
230000,0.1,109
230000,0.1,111
230000,0.1,116
230000,0.1,149
230000,0.1,136
230000,0.1,106
230000,0.1,117
230000,0.1,131
230000,0.1,122
230000,0.1,125
230000,0.1,117
230000,0.1,119
230000,0.1,132
230000,0.1,142
230000,0.1,136
230000,0.1,126
230000,0.1,131
240000,0.1,129
240000,0.1,111
240000,0.1,116
240000,0.1,117
240000,0.1,123
240000,0.1,114
240000,0.1,142
240000,0.1,134
240000,0.1,122
240000,0.1,125
240000,0.1,129
240000,0.1,142
240000,0.1,117
240000,0.1,133
240000,0.1,115
240000,0.1,115
240000,0.1,139
240000,0.1,147
240000,0.1,120
240000,0.1,112
240000,0.1,136
240000,0.1,123
240000,0.1,140
240000,0.1,117
240000,0.1,110
240000,0.1,115
240000,0.1,122
240000,0.1,120
240000,0.1,115
240000,0.1,136
240000,0.1,119
240000,0.1,122
240000,0.1,112
240000,0.1,108
240000,0.1,142
240000,0.1,161
240000,0.1,112
240000,0.1,124
240000,0.1,148
240000,0.1,105
240000,0.1,114
240000,0.1,121
240000,0.1,119
240000,0.1,121
240000,0.1,111
240000,0.1,108
240000,0.1,122
240000,0.1,115
240000,0.1,137
240000,0.1,124
250000,0.1,120
250000,0.1,143
250000,0.1,124
250000,0.1,135
250000,0.1,120
250000,0.1,137
250000,0.1,146
250000,0.1,116
250000,0.1,111
250000,0.1,122
250000,0.1,135
250000,0.1,117
250000,0.1,122
250000,0.1,137
250000,0.1,116
250000,0.1,109
250000,0.1,113
250000,0.1,115
250000,0.1,124
250000,0.1,136
250000,0.1,121
250000,0.1,114
250000,0.1,122
250000,0.1,139
250000,0.1,135
250000,0.1,118
250000,0.1,126
250000,0.1,164
250000,0.1,109
250000,0.1,102
